Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,199.64505777104895,0.175705329153605,2.1439136609053002,0.15512820512820513
1,0.8127779318994863,0.24404388714733544,0.3719782503751608,0.31025641025641026
2,0.2821588667208872,0.3702194357366771,0.2392163667923365,0.3903846153846154
3,0.19617708888734023,0.4479623824451411,0.1911516949152335,0.44358974358974357
4,0.1631769341641459,0.5015673981191222,0.16747063795725506,0.49166666666666664
5,0.1469558297606845,0.5380877742946708,0.14059372742970785,0.5230769230769231
6,0.13487169822461925,0.5719435736677116,0.13392227223286263,0.551923076923077
7,0.12491980965328067,0.606269592476489,0.12499800817324565,0.5544871794871795
8,0.11977304976935671,0.6238244514106583,0.11336128841607998,0.5980769230769231
9,0.118936404623208,0.6217868338557994,0.09903821631883963,0.6647435897435897
10,0.11795074824816007,0.6336990595611285,0.12420044090503302,0.5544871794871795
11,0.11986884283701828,0.6307210031347963,0.12078069922251579,0.5846153846153846
12,0.11809449560216229,0.6407523510971787,0.14013004761475784,0.5365384615384615
13,0.10665481695000281,0.6705329153605015,0.13072501306350415,0.6551282051282051
14,0.10526595117530105,0.6907523510971787,0.1802111566830904,0.583974358974359
15,0.11996105825265747,0.6595611285266457,0.4411170534598522,0.3057692307692308
16,0.13675872946981352,0.6482758620689655,0.6206280946731567,0.3121794871794872
17,0.1829887737301076,0.6036050156739812,0.6281234771777422,0.3282051282051282
18,0.1761311681666718,0.6061128526645768,0.5108685990174612,0.36217948717948717
19,0.18037687016878756,0.5952978056426332,0.2333756948892887,0.5487179487179488
20,0.13191638943917325,0.6639498432601881,0.22969100842109094,0.5243589743589744
21,0.10207952003120255,0.719435736677116,0.45431440900533626,0.34807692307692306
22,0.24718943423238293,0.5557993730407523,0.1821612081466577,0.5615384615384615
23,0.1164766121807517,0.6863636363636364,0.1950226034109409,0.5237179487179487
24,0.10732167961081741,0.7122257053291536,0.38757433402232633,0.3269230769230769
25,0.148565941750069,0.6594043887147335,0.3390977456019475,0.31474358974358974
26,0.1306982493138986,0.6833855799373041,0.37346101907583384,0.28717948717948716
27,0.15988238704241928,0.6492163009404389,0.2967388680348029,0.2980769230769231
28,0.1345912996878071,0.6686520376175549,0.378096604347229,0.2519230769230769
29,0.13853999918157403,0.6755485893416928,0.45923313636046187,0.1858974358974359
30,0.1747659014310209,0.622257053291536,0.20974917335387988,0.30256410256410254
31,0.1609674965279603,0.6255485893416928,0.09417565717146947,0.6923076923076923
32,0.10980755805408693,0.7170846394984326,0.13891339630652697,0.5685897435897436
33,0.12065699212603434,0.6967084639498433,0.21486836327956274,0.4391025641025641
34,0.1393545783238725,0.6719435736677116,0.2702687058693323,0.2564102564102564
35,0.16689071313340836,0.6343260188087775,0.13907919854689868,0.49166666666666664
36,0.16771899982586175,0.6269592476489029,0.09627714967116331,0.691025641025641
37,0.11566958111655376,0.7010971786833856,0.09904287862472046,0.7141025641025641
38,0.10281224082629882,0.7373040752351098,0.11878331028498136,0.6493589743589744
39,0.10449905761730709,0.7293103448275862,0.1894255133011402,0.4564102564102564
