Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,0.10516628379638666,0.39843260188087776,0.10046099516061636,0.4653846153846154
1,0.09713851755315607,0.48495297805642634,0.11401588706633983,0.30128205128205127
2,0.09420166056264531,0.4581504702194357,0.08734206152267945,0.5384615384615384
3,0.08250907398409978,0.5592476489028213,0.08226711679345522,0.5814102564102565
4,0.07931114687908405,0.5869905956112853,0.08667422853983366,0.5551282051282052
5,0.06555225155476867,0.6981191222570533,0.06530678554987296,0.6852564102564103
6,0.05791480461818671,0.713166144200627,0.06512606816414075,0.6974358974358974
7,0.06268167750542067,0.6921630094043887,0.06872072842640754,0.6653846153846154
8,0.04799356063284844,0.7758620689655172,0.05596996486569062,0.7166666666666667
9,0.0826294875023507,0.577115987460815,0.06619937529739661,0.7012820512820512
10,0.05356596821924923,0.7445141065830722,0.053161050216891825,0.7435897435897436
11,0.038500108294259046,0.8495297805642633,0.04174436371869002,0.8391025641025641
12,0.026865662605177646,0.8960815047021944,0.04040260087603178,0.8314102564102565
13,0.023261745655938377,0.9092476489028213,0.039005839308867085,0.8397435897435898
14,0.021498509148445248,0.9188087774294671,0.03903098350916153,0.8262820512820512
15,0.020791662903064657,0.9210031347962383,0.0410049129755069,0.8333333333333334
16,0.017903240545883447,0.9322884012539185,0.0397652400800815,0.8352564102564103
17,0.018496423853462018,0.9286833855799373,0.04327780019778472,0.8256410256410256
18,0.017984351679846224,0.931974921630094,0.038938176651031546,0.8448717948717949
19,0.01683521544893614,0.938244514106583,0.041039797921593374,0.833974358974359
20,0.015428794187648356,0.9412225705329154,0.041619933950595364,0.8320512820512821
21,0.015312189908937601,0.9423197492163009,0.03982298901447883,0.8519230769230769
22,0.014963968057290514,0.9432601880877743,0.04166172186915691,0.8416666666666667
23,0.025644342949304462,0.8934169278996865,0.06166497734494698,0.7487179487179487
24,0.02604327761337488,0.8973354231974922,0.040660796830287345,0.8391025641025641
25,0.016191845950393188,0.9371473354231975,0.03989469421406587,0.8346153846153846
26,0.014618558390212004,0.9446708463949843,0.03608883476983278,0.8519230769230769
27,0.013597500207469007,0.9481191222570533,0.04201772972368277,0.8326923076923077
28,0.013468584296261443,0.9476489028213166,0.0401094295657598,0.8371794871794872
29,0.012544999977567913,0.9504702194357367,0.037340334458993034,0.8512820512820513
30,0.014699490613312837,0.9429467084639498,0.04260717653311216,0.8314102564102565
31,0.014790731657086215,0.9424764890282131,0.039449670032048835,0.8371794871794872
32,0.01477169636023876,0.9418495297805642,0.03798315547979795,0.8506410256410256
33,0.01259993684702906,0.95141065830721,0.03688730658629002,0.8480769230769231
34,0.011547501047425041,0.9543887147335424,0.0387627396828089,0.8493589743589743
35,0.011865557692828222,0.9521943573667712,0.04060066057703434,0.8384615384615385
36,0.011880983894860203,0.9526645768025078,0.037661594114242455,0.8467948717948718
37,0.010580807631152177,0.9565830721003135,0.039572718204596104,0.841025641025641
38,0.01052085039290515,0.9567398119122257,0.03908633102591221,0.8474358974358974
